ASO	barcode	sample_name	Dose	experiment	plate	total	dIRE1	Other_dIRE	IRE	dIRE1_altTSS	dIRE2	ire_ov_total	dire1_ov_total	treatment
CR-AA-02327	BC15	CR2327_200nm	200	TT20	1	402	84	42	213	6	57	0.529850746268657	0.208955223880597	2327
CR-EX-00001	BC16	EX-00001_200nm	200	TT20	1	247	50	34	143	3	17	0.578947368421053	0.202429149797571	EX-00001
PBS	BC17	PBS_20nm	20	TT20	1	1037	317	54	462	44	160	0.445515911282546	0.305689488910318	PBS
CR-AA-02327	BC23	CR2327_20nm	20	TT20	1	1201	250	121	615	20	195	0.512073272273106	0.208159866777685	2327
CR-EX-00001	BC24	EX-00001_20nm	20	TT20	1	332	104	22	166	12	28	0.5	0.313253012048193	EX-00001
CR-AA-02327	BC31	CR2327_2nm	2	TT20	1	546	156	33	287	8	62	0.525641025641026	0.285714285714286	2327
CR-EX-00001	BC32	EX-00001_2nm	2	TT20	1	496	149	43	236	12	56	0.475806451612903	0.300403225806452	EX-00001
CR-EX-00001	BC33	EX-00001_2000nm	2000	TT20	1	1256	434	72	568	34	148	0.452229299363057	0.345541401273885	EX-00001
PBS	BC39	PBS_2000nm	2000	TT20	1	1097	333	77	538	28	121	0.490428441203282	0.30355515041021	PBS
CR-EX-00001	BC41	EX-00001_200nm	200	TT20	1	1170	380	58	549	39	144	0.469230769230769	0.324786324786325	EX-00001
PBS	BC47	PBS_200nm	200	TT20	1	782	239	70	357	15	101	0.456521739130435	0.305626598465473	PBS
CR-EX-00001	BC49	EX-00001_20nm	20	TT20	1	600	179	44	292	16	69	0.486666666666667	0.298333333333333	EX-00001
PBS	BC55	PBS_20nm	20	TT20	1	561	171	64	242	20	64	0.431372549019608	0.304812834224599	PBS
CR-EX-00001	BC57	EX-00001_2nm	2	TT20	1	739	257	43	331	29	79	0.447902571041949	0.347767253044655	EX-00001
PBS	BC63	PBS_2nm	2	TT20	1	137	35	20	63	1	18	0.45985401459854	0.255474452554745	PBS
PBS	BC65	PBS_2000nm	2000	TT20	1	177	42	20	93	4	18	0.525423728813559	0.23728813559322	PBS
PBS	BC73	PBS_200nm	200	TT20	1	986	310	64	471	26	115	0.477687626774848	0.314401622718053	PBS
PBS	BC81	PBS_20nm	20	TT20	1	1962	560	174	957	57	214	0.487767584097859	0.285423037716616	PBS
PBS	BC89	PBS_2nm	2	TT20	1	344	94	39	167	12	32	0.48546511627907	0.273255813953488	PBS
PBS	BC01	PBS_2000nm	2000	TT20	2	968	342	41	480	19	86	0.495867768595041	0.353305785123967	PBS
